ElectoralDistrictName;ElectoralDistrictNumber;VotingLocationName;VotingLocationAddress;VotingLocationType;VotingLocationOpens;VotingLocationNumber;VotingLocationCloses;GeoJSON;geo_point_2d
Meadowbrook-Strathcona;8;Trillium Ridge Retirement Centre;800 Edgar St;Election Day-Institutional;2018-10-22T00:00:00-04:00;44;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.55216246960296, 44.250331771802635]}";44.2503317718, -76.5521624696
Kingscourt-Rideau;7;St. Francis of Assisi Catholic School;114 Wiley St;Advance Voting Day;2018-10-13T10:00:00-04:00;32;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.49003832636264, 44.261037375306]}";44.2610373753, -76.4900383264
Portsmouth;5;Cooke's-Portsmouth United Church;200 Norman Rogers Dr;Election Day;2018-10-22T10:00:00-04:00;11;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.52317717802391, 44.2329726727547]}";44.2329726728, -76.523177178
King’s Town;11;Artillery Park Aquatic Centre;382 Bagot St;Advance Voting Day;2018-10-13T10:00:00-04:00;36;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.48431719163848, 44.23427883557399]}";44.2342788356, -76.4843171916
Pittsburgh;12;St. Martha Catholic School;455 St. Martha St;Advance Voting Day;2018-10-13T10:00:00-04:00;37;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.44822163032113, 44.26511515333347]}";44.2651151533, -76.4482216303
Kingscourt-Rideau;7;Our Lady of Fatima Parish;588 Division St;Election Day;2018-10-22T10:00:00-04:00;15;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.49657609185182, 44.2455026247318]}";44.2455026247, -76.4965760919
Trillium;6;Fairfield Manor West;805 Ridley Dr;Election Day-Institutional;2018-10-22T00:00:00-04:00;51;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.57855131709692, 44.25752755427981]}";44.2575275543, -76.5785513171
Loyalist-Cataraqui;2;INVISTA Centre;1350 Gardiners Rd;Election Day;2018-10-22T10:00:00-04:00;4;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.56888414943757, 44.27583095181924]}";44.2758309518, -76.5688841494
Countryside;1;Glenburnie Fire Hall;1485 Unity Rd;Election Day;2018-10-22T10:00:00-04:00;2;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.50220837435101, 44.319851925397025]}";44.3198519254, -76.5022083744
Meadowbrook-Strathcona;8;Providence Motherhouse;1200 Princess St;Election Day-Institutional;2018-10-22T00:00:00-04:00;48;2018-10-22T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.52267845205652, 44.24480681945286]}";44.2448068195, -76.5226784521
Collins-Bayridge;3;Mother Teresa Catholic School;1044 Lancaster Dr;Advance Voting Day;2018-10-13T10:00:00-04:00;28;2018-10-13T20:00:00-04:00;"{""type"": ""Point"", ""coordinates"": [-76.59804874317496, 44.255967724112345]}";44.2559677241, -76.5980487432
